TransactionID,Items
1,"['Milk', 'Cheese']"
2,"['Eggs', 'Butter', 'Bread']"
3,"['Bananas', 'Coffee']"
4,"['Milk', 'Bread']"
5,"['Eggs', 'Apples', 'Milk']"
6,"['Apples', 'Coffee', 'Eggs']"
7,"['Bananas', 'Cheese', 'Milk', 'Coffee', 'Bread']"
8,"['Juice', 'Cheese', 'Butter', 'Bread', 'Sugar']"
9,"['Bread', 'Coffee']"
10,"['Juice', 'Bananas']"
11,"['Milk', 'Sugar', 'Bread', 'Eggs']"
12,"['Apples', 'Cheese']"
13,"['Bananas', 'Eggs', 'Bread', 'Milk']"
14,"['Cheese', 'Bread', 'Eggs']"
15,"['Coffee', 'Cheese']"
16,"['Juice', 'Butter', 'Bananas', 'Apples', 'Bread']"
17,"['Bread', 'Butter', 'Eggs', 'Bananas']"
18,"['Coffee', 'Cheese', 'Eggs', 'Juice', 'Butter']"
19,"['Eggs', 'Milk']"
20,"['Coffee', 'Cheese', 'Bread', 'Sugar']"
21,"['Eggs', 'Sugar', 'Coffee', 'Juice']"
22,"['Butter', 'Cheese', 'Bananas', 'Bread', 'Juice']"
23,"['Bananas', 'Coffee', 'Apples', 'Butter']"
24,"['Butter', 'Apples', 'Sugar']"
25,"['Milk', 'Bread']"
26,"['Butter', 'Coffee', 'Bread']"
27,"['Coffee', 'Sugar', 'Cheese', 'Apples', 'Milk']"
28,"['Apples', 'Cheese']"
29,"['Bread', 'Cheese', 'Coffee', 'Bananas']"
30,"['Milk', 'Cheese', 'Butter', 'Apples', 'Bananas']"
31,"['Apples', 'Eggs', 'Butter', 'Sugar']"
32,"['Apples', 'Bananas', 'Milk']"
33,"['Sugar', 'Milk', 'Bread', 'Butter']"
34,"['Eggs', 'Milk', 'Bananas', 'Cheese']"
35,"['Bread', 'Sugar']"
36,"['Apples', 'Butter']"
37,"['Sugar', 'Apples', 'Butter']"
38,"['Apples', 'Coffee', 'Eggs', 'Cheese']"
